

Duffing oscillator:   gamma = 0.37, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00  -0.65370   0.73016
 20.00   1.05225   0.09348
 21.00   0.70911   0.58625
 22.00  -0.85458  -0.45317
 23.00  -0.80435   0.38899
 24.00  -0.65395   0.73034
 25.00   1.05232   0.09339
 26.00   0.70931   0.58632
 27.00  -0.85465  -0.45316
 28.00  -0.80435   0.38903
 29.00  -0.65401   0.73038
 30.00   1.05234   0.09336
 31.00   0.70935   0.58634
 32.00  -0.85467  -0.45316
 33.00  -0.80435   0.38904
 34.00  -0.65402   0.73039
 35.00   1.05234   0.09336
 36.00   0.70937   0.58634
 37.00  -0.85467  -0.45316
 38.00  -0.80435   0.38904
