

Duffing oscillator:   gamma = 0.50, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00  -1.29881   0.60661
 20.00  -0.12842   0.10555
 21.00   1.15864   0.28307
 22.00  -0.46713  -0.20584
 23.00  -0.40840   0.55186
 24.00   0.87157   0.45531
 25.00  -1.16163  -0.26439
 26.00  -0.60732   0.73076
 27.00   0.90155   0.42307
 28.00  -1.08543  -0.33019
 29.00  -0.60959   0.67232
 30.00   1.02609   0.33355
 31.00  -0.75709  -0.35713
 32.00  -0.62089   0.47945
 33.00   0.54845   0.64329
 34.00  -1.35585   0.36686
 35.00  -1.22298   0.47377
 36.00  -1.07786   0.80213
 37.00   1.29592   0.34424
 38.00  -0.67140  -0.30861
