

Duffing oscillator:   gamma = 0.65, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00  -1.19551   1.03845
 20.00   0.72341   0.54375
 21.00  -1.19551   1.03845
 22.00   0.72341   0.54375
 23.00  -1.19551   1.03845
 24.00   0.72341   0.54375
 25.00  -1.19551   1.03845
 26.00   0.72341   0.54375
 27.00  -1.19551   1.03845
 28.00   0.72341   0.54375
 29.00  -1.19551   1.03845
 30.00   0.72341   0.54375
 31.00  -1.19551   1.03845
 32.00   0.72341   0.54375
 33.00  -1.19551   1.03845
 34.00   0.72341   0.54375
 35.00  -1.19551   1.03845
 36.00   0.72341   0.54375
 37.00  -1.19551   1.03845
 38.00   0.72341   0.54375
